SID,NAME,SEASON
2009254N14130,KOPPU,2009
2009268N14128,KETSANA,2009
2009270N10148,PARMA,2009
2009272N07164,MELOR,2009
2009287N10154,LUPIT,2009
2009291N16111,UNNAMED,2009
2009299N12153,MIRINAE,2009
2009305N14134,UNNAMED,2009
2009325N06148,NIDA,2009
2010078N03153,OMAIS,2010
2010191N12138,CONSON,2010
2010198N15123,CHANTHU,2010
2010200N26127,UNNAMED,2010
2010218N20127,DIANMU,2010
2010233N17119,MINDULLE,2010
2010239N15118,LIONROCK,2010
2010240N15142,KOMPASU,2010
2010241N25125,NAMTHEUN,2010
2010243N12146,MALOU,2010
2010249N24125,MERANTI,2010
2010256N17137,FANAPI,2010
2010278N18110,UNNAMED,2010
2010285N13145,MEGI,2010
2010293N16147,CHABA,2010
2010315N14112,UNNAMED,2010
2011126N11129,AERE,2011
2011140N08142,SONGDA,2011
2011151N19116,UNNAMED,2011
2011159N13122,SARIKA,2011
2011167N08129,HAIMA,2011
2011172N11133,MEARI,2011
2011192N18158,MA-ON,2011
2011195N15134,TOKAGE,2011
2011205N12130,NOCK-TEN,2011
2011208N09145,MUIFA,2011
2011233N12129,NANMADOL,2011
2011236N15143,TALAS,2011
2011249N18133,KULAP,2011
2011253N20145,ROKE,2011
2011266N13139,NESAT,2011
2011267N16111,HAITANG,2011
2011270N18139,NALGAE,2011
2011282N08136,BANYAN,2011
2011311N13111,UNNAMED,2011
2012152N12130,MAWAR,2012
2012162N06150,GUCHOL,2012
2012168N19112,TALIM,2012
2012177N11135,DOKSURI,2012
2012196N19144,KHANUN,2012
2012201N15129,VICENTE,2012
2012209N11131,SAOLA,2012
2012209N25149,DAMREY,2012
2012215N23146,HAIKUI,2012
2012225N16133,KAI-TAK,2012
2012230N21126,TEMBIN,2012
2012232N13141,BOLAVEN,2012
2012254N09135,SANBA,2012
2012263N15141,JELAWAT,2012
2012273N13112,GAEMI,2012
2012279N15145,PRAPIROON,2012
2012296N06135,SON-TINH,2012
2012331N03157,BOPHA,2012
2013158N13129,YAGI,2013
2013167N12128,LEEPI,2013
2013171N15117,BEBINCA,2013
2013178N09133,RUMBIA,2013
2013187N20156,SOULIK,2013
2013196N14128,CIMARON,2013
2013210N13122,JEBI,2013
2013217N11118,MANGKHUT,2013
2013220N12137,UTOR,2013
2013228N23124,TRAMI,2013
2013229N26132,UNNAMED,2013
2013237N11129,KONG-REY,2013
2013243N26122,TORAJI,2013
2013255N20148,MAN-YI,2013
2013259N17132,USAGI,2013
2013260N15112,UNNAMED,2013
2013269N15118,WUTIP,2013
2013272N10135,FITOW,2013
2013274N18152,DANAS,2013
2013282N14132,NARI,2013
2013282N14149,WIPHA,2013
2013289N14149,FRANCISCO,2013
2013301N13142,KROSA,2013
2013306N07162,HAIYAN,2013
2014160N21120,MITAG,2014
2014164N19116,HAGIBIS,2014
2014184N08147,NEOGURI,2014
2014190N08154,RAMMASUN,2014
2014197N10137,MATMO,2014
2014209N12152,HALONG,2014
2014209N16134,NAKRI,2014
2014231N21117,UNNAMED,2014
2014248N19129,FENGSHEN,2014
2014249N14118,UNNAMED,2014
2014254N10142,KALMAEGI,2014
2014260N13135,FUNG-WONG,2014
2014271N10160,PHANFONE,2014
2014275N06166,VONGFONG,2014
2014303N13141,NURI,2014
2015012N09146,MEKKHALA,2015
2015069N04173,BAVI,2015
2015085N06162,MAYSAK,2015
2015122N07144,NOUL,2015
2015171N15112,KUJIRA,2015
2015180N09160,CHAN-HOM,2015
2015183N13130,LINFA,2015
2015184N08172,NANGKA,2015
2015188N08194,HALOLA,2015
2015203N16126,UNNAMED,2015
2015211N13162,SOUDELOR,2015
2015226N12151,GONI,2015
2015249N18142,ETAU,2015
2015256N16113,VAMCO,2015
2015263N14148,DUJUAN,2015
2015273N12130,MUJIGAE,2015
2015285N14151,KOPPU,2015
2015321N04164,IN-FA,2015
2016147N18115,UNNAMED,2016
2016185N08145,NEPARTAK,2016
2016199N18131,UNNAMED,2016
2016207N17116,MIRINAE,2016
2016211N11128,NIDA,2016
2016228N22117,DIANMU,2016
2016230N25160,LIONROCK,2016
2016244N21123,NAMTHEUN,2016
2016250N25125,MALOU,2016
2016253N13144,MERANTI,2016
2016255N12114,RAI,2016
2016256N12146,MALAKAS,2016
2016265N10150,MEGI,2016
2016269N15165,CHABA,2016
2016279N19130,AERE,2016
2016287N12131,SARIKA,2016
2016288N06146,HAIMA,2016
2016328N09130,TOKAGE,2016
2017104N11130,UNNAMED,2017
2017113N09144,MUIFA,2017
2017161N13119,MERBOK,2017
2017182N15132,NANMADOL,2017
2017195N16114,TALAS,2017
2017200N26162,NORU,2017
2017202N16116,SONCA,2017
2017202N19124,ROKE,2017
2017206N13129,NESAT,2017
2017209N19118,HAITANG,2017
2017232N19130,HATO,2017
2017236N15129,PAKHAR,2017
2017242N19122,MAWAR,2017
2017247N16132,GUCHOL,2017
2017252N14147,TALIM,2017
2017253N14130,DOKSURI,2017
2017267N18116,UNNAMED,2017
2017282N17113,UNNAMED,2017
2017284N15134,KHANUN,2017
2017288N09138,LAN,2017
2017292N13151,SAOLA,2017
2017312N10134,HAIKUI,2017
2018153N12113,EWINIAR,2018
2018155N10132,MALIKSI,2018
2018164N21120,UNNAMED,2018
2018165N22117,GAEMI,2018
2018179N19134,PRAPIROON,2018
2018184N10147,MARIA,2018
2018195N19138,SON-TINH,2018
2018199N18128,AMPIL,2018
2018202N18116,UNNAMED,2018
2018204N15137,JONGDARI,2018
2018218N18134,YAGI,2018
2018221N17112,BEBINCA,2018
2018222N16147,LEEPI,2018
2018226N23128,RUMBIA,2018
2018227N11145,SOULIK,2018
2018229N11160,CIMARON,2018
2018234N22119,UNNAMED,2018
2018239N11161,JEBI,2018
2018250N12170,MANGKHUT,2018
2018251N20122,BARIJAT,2018
2018263N12146,TRAMI,2018
2018271N06154,KONG-REY,2018
2018294N08161,YUTU,2018
2018324N04156,MAN-YI,2018
2019050N05163,WUTIP,2019
2019176N18128,SEPAT,2019
2019178N10137,UNNAMED,2019
2019182N18114,MUN,2019
2019195N13136,DANAS,2019
2019210N16117,WIPHA,2019
2019213N17155,FRANCISCO,2019
2019214N15134,LEKIMA,2019
2019216N16147,KROSA,2019
2019231N13135,BAILU,2019
2019236N08143,PODUL,2019
2019242N18126,KAJIKI,2019
2019243N06136,LINGLING,2019
2019250N24123,UNNAMED,2019
2019260N20129,TAPAH,2019
2019268N10155,MITAG,2019
2019288N16136,NEOGURI,2019
2019314N14136,KALMAEGI,2019
2019322N11144,FUNG-WONG,2019
2020129N07134,VONGFONG,2020
2020160N10133,NURI,2020
2020195N17125,UNNAMED,2020
2020211N14124,SINLAKU,2020
2020213N15131,HAGUPIT,2020
2020220N14128,JANGMI,2020
2020222N15117,MEKKHALA,2020
2020222N26149,UNNAMED,2020
2020229N18123,HIGOS,2020
2020234N19123,BAVI,2020
2020239N13134,MAYSAK,2020
2020244N25146,HAISHEN,2020
2020258N11127,NOUL,2020
2020263N21136,DOLPHIN,2020
2020277N21141,CHAN-HOM,2020
2020281N14126,LINFA,2020
2020285N17120,NANGKA,2020
2020288N13124,UNNAMED,2020
2020291N06141,SAUDEL,2020
2020296N09137,MOLAVE,2020
2020299N11144,GONI,2020
2020303N05149,ATSANI,2020
2020313N08135,VAMCO,2020
2021046N06142,DUJUAN,2021
2021102N06144,SURIGAE,2021
2021148N05142,CHOI-WAN,2021
2021161N18115,KOGUMA,2021
2021185N13121,UNNAMED,2021
2021186N16129,UNNAMED,2021
2021197N17135,IN-FA,2021
2021198N19117,CEMPAKA,2021
2021204N21146,NEPARTAK,2021
2021214N20155,UNNAMED,2021
2021214N21110,LUPIT,2021
2021215N24124,MIRINAE,2021
2021219N08193,OMAIS,2021
2021248N11131,CONSON,2021
2021248N12141,CHANTHU,2021
2021264N13119,DIANMU,2021
2021276N07131,LIONROCK,2021
2021280N14137,KOMPASU,2021
2021346N05145,RAI,2021
2022088N09116,UNNAMED,2022
2022096N03150,MALAKAS,2022
2022180N15117,CHABA,2022
2022180N15130,AERE,2022
2022208N15143,SONGDA,2022
2022211N20129,TRASES,2022
2022215N21118,UNNAMED,2022
2022220N16110,MULAN,2022
